times,sst,sst_err,ftemp,wind,atemp,swrad,humid,boatspd
1205477.2799999723,298.811,0.11923287671232877,299.375,3.873,303.094,2.4,0.01,11.0
1208900.400000021,298.611,0.2180958904109589,298.671,6.877,302.45,-0.9,0.01,11.5
1209596.8800000094,299.068,0.10368493150684932,299.39599999999996,8.499,302.219,-1.1,0.01,11.5
1210293.3599999978,298.559,0.1608904109589041,299.003,7.697,302.362,-0.4,0.01,11.5
1211668.7999999614,298.61,0.12202739726027399,299.01099999999997,2.307,301.993,-1.0,0.01,11.6
1213052.0400000266,297.851,0.13019178082191782,297.07899999999995,0.197,300.82,-0.9,0.01,11.8
1213756.5599999717,298.962,0.18013698630136987,298.921,0.633,300.571,-1.5,0.01,11.7
1214444.6399999794,299.68,0.1322876712328767,299.32599999999996,2.893,301.125,-0.2,0.01,11.5
1215142.800000021,299.332,0.1628904109589041,298.851,6.207,301.369,-0.7,0.01,10.7
1215846.7199999986,298.789,0.11391780821917809,299.205,1.225,300.296,-0.1,0.01,10.6
1216541.5919999976,298.599,0.08664383561643836,298.066,1.352,300.456,0.4,0.01,10.7
1217236.4880000195,298.447,0.11890410958904112,298.38,2.188,300.478,0.6,0.01,10.2
1217931.3600000183,299.361,0.0613972602739726,298.909,2.408,300.998,1.7,0.01,10.3
1218626.951999991,298.446,0.1524931506849315,298.813,2.481,301.16,2.3,0.01,10.7
1219331.2079999791,298.29,0.10998630136986302,299.01099999999997,3.007,301.371,2.8,0.01,11.3
1220026.80000004,298.843,0.18591780821917808,299.255,2.196,301.425,2.0,0.01,11.5
1220725.9199999792,299.136,0.07178082191780823,299.438,2.426,302.14,1.5,0.01,11.6
1221425.0400000117,299.223,0.12513698630136988,299.554,5.626,302.099,1.7,0.01,11.5
1222123.6799999995,299.371,0.14027397260273972,299.70099999999996,6.573,302.05,1.2,0.01,11.0
1223529.5999999829,299.859,0.09742465753424658,300.135,3.626,300.97,-0.8,0.01,10.8
1224236.8799999733,299.6,0.11708219178082194,298.993,4.232,300.328,-1.0,0.01,11.3
1224945.1200000383,299.521,0.16068493150684932,299.68399999999997,3.623,300.553,0.3,0.01,10.9
1226345.832000002,299.218,0.17465753424657537,299.0,1.742,300.703,-0.6,0.01,10.9
1227054.9599999993,298.291,0.2969178082191781,298.50899999999996,2.256,300.407,0.5,0.01,10.9
1227755.3279999925,295.519,0.13378082191780824,295.96999999999997,1.819,298.296,-1.9,0.01,11.1
1228455.671999963,295.811,0.25646575342465755,295.344,1.494,298.397,-2.0,0.01,10.7
1229164.7999999602,295.04,0.1578082191780822,295.315,3.399,297.796,-0.4,0.01,11.0
1229859.2639999832,295.478,0.10010958904109589,295.61499999999995,2.756,297.549,0.2,0.01,5.7
1230562.4160000398,295.912,0.064,296.102,0.8,297.714,-1.4,0.01,0.0
1231256.8799999694,295.867,0.078,295.96799999999996,1.8,298.048,4.4,0.01,0.0
1231956.7199999704,295.94,0.038,295.86699999999996,1.4,298.209,16.8,0.01,0.0
1232647.919999969,295.987,0.094,296.27299999999997,1.0,298.081,47.1,0.01,0.0
1233339.1199999722,296.552,0.068,296.96999999999997,1.1,298.014,75.4,0.01,0.0
1234030.3199999705,296.936,0.074,297.126,1.8,297.86,111.7,0.01,0.0
1234721.519999969,296.659,0.1,296.881,1.5,298.038,172.1,0.01,0.0
1235421.35999997,296.776,0.04,296.849,2.0,298.246,230.7,0.01,0.0
1236112.5599999733,296.733,0.132,296.765,4.9,297.572,264.8,0.01,0.0
1236803.7599999718,296.765,0.144,296.625,4.7,298.115,341.5,0.01,0.0
1237503.5999999729,296.719,0.07,296.543,3.7,298.193,387.1,0.01,0.0
1238203.4399999692,296.696,0.08438356164383562,296.436,2.216,297.628,194.2,0.01,0.8
1238893.9199999988,296.48,0.13534246575342465,296.5,3.819,297.91,184.9,0.01,0.6
1239584.4000000285,296.48,0.06157534246575343,296.435,3.444,297.558,193.0,0.01,0.9
1240274.6400000406,296.52,0.07358904109589041,296.501,4.494,297.627,235.8,0.01,1.2
1240973.5199999625,296.491,0.042739726027397264,296.59799999999996,3.798,297.801,314.7,0.01,1.0
1241663.7599999697,296.696,0.0864931506849315,296.709,3.516,297.824,661.0,0.01,0.8
1242362.6399999799,296.831,0.07957534246575343,296.87699999999995,3.75,297.763,593.0,0.01,1.1
1243052.6399999699,297.021,0.039698630136986296,297.015,4.577,297.891,591.0,0.01,1.5
1243742.4000000309,297.114,0.1043013698630137,296.93399999999997,3.653,298.152,542.9,0.01,1.6
1244441.2800000361,297.042,0.11761643835616438,296.78299999999996,4.805,298.111,701.7,0.01,1.6
1245140.1599999627,297.016,0.06667123287671234,296.61699999999996,3.962,298.092,666.4,0.01,1.1
1245830.6399999922,297.168,0.07358904109589041,296.62399999999997,3.487,297.956,698.8,0.01,1.2
1246529.5200000023,297.346,0.09463013698630138,296.69899999999996,3.629,297.907,775.3,0.01,1.1
1247219.5199999923,297.317,0.09863013698630137,296.645,3.414,298.047,773.9,0.01,1.4
1247909.7599999998,297.421,0.07278082191780821,296.621,3.97,298.311,785.4,0.01,1.5
1248600.2400000293,297.414,0.0886027397260274,296.787,3.374,298.353,792.7,0.01,0.8
1249290.7199999706,297.338,0.10827397260273972,296.743,3.835,299.205,807.6,0.01,0.6
